conditionid,closingcondition,conditionfamily,conditionname,conditionpayload,configurable,consolidation,consolidationsleeptime,description,downstream,fetchdata,issnooze,priority,remediation,snooze,sourcesystem,underresearch,updatedtime
1000349,False,7,Intel Matrix Storage Event Monitor Service detected Disk degraded.,,,False,,,itsm,,False,,,,1.0,,
1003963,False,7,Hardware - HP Sensor - Fan has failed or now in a non-redundant state,,,False,,,itsm,,False,,,,1.0,,
11455,False,73,VMware Host Hardware Issue observed for Power Sensor,,,False,,,itsm,,False,,,,1.0,,
10541,False,7,PowerAlert Server - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
11654,False,19,Remote Desktop Management- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1000986,False,7,MegaRAID Storage Manager - Fatal Firmware Error.,,,False,,,itsm,,False,,,,1.0,,
1003162,False,13,Web Services - Application pool is being automatically disabled due to a series of failures.,,,False,,,itsm,,False,,,,1.0,,
10619,False,2,VIPRE Email Security Cloudmark Engine Service- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1000122,False,5,Streaming data allocation inconsistency has been detected - Mail Flow Down.,,,False,,,itsm,,False,,,,1.0,,
1001232,False,5,Exchange - System Attendant generated error due to Exchange Server computer's distinguished name has been changed,,,False,,,itsm,,False,,,,1.0,,
1000057,False,5,Exchange incremental backup has failed because a require file is missing - Backup Failed.,,,False,,,itsm,,False,,,,1.0,,
50309,,,,,,False,,,itsm,,False,,,,2.0,,
1001810,False,11,SharePoint 2010 - Timer Job To Update Central Admin Failed,,,False,,,itsm,,False,,,,1.0,,
11331,False,11,SharePoint Server Search 14- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001291,False,8,ISA Server on Low resources. Memory allocation failed.,,,False,,,itsm,,False,,,,1.0,,
50313,,,,,,False,,,itsm,,False,,,,2.0,,
1000318,False,7,Dmboot Failed To start Volume,,,False,,,itsm,,False,,,,1.0,,
1000394,False,7,Reset to device - Controller problem.,,,False,,,itsm,,False,,,,1.0,,
17023,False,91,CryptoPrevent Monitor Service- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
50216,,,,,,False,,,itsm,,False,,,,2.0,,
10389,False,36,Patch assessment process results not received from managed server. (Server care / Proactive server care),,,False,,,itsm,,False,,,,1.0,,
1001476,False,7,Mega RAID - Physical drive is failed,,,False,,,itsm,,False,,,,1.0,,
50366,,,,,,False,,,itsm,,False,,,,2.0,,
10239,False,9,H.323 GATEKEEPER - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10532,False,2,Network Associates McShield - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
17027,False,2,Symantec LUService- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10491,False,8,ISA Server Control - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
10324,False,2,Symantec AntiVirus Definition Watcher - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001516,False,5,Exchange - RPC errors or latency warnings is above threshold,,,False,,,itsm,,False,,,,1.0,,
1001540,True,13,"Citrix - The supplied credentials could not be validated. Either they are incorrect, or there is a problem with the authentication system (Closing condition)",,,False,,,itsm,,False,,,,1.0,,
1001380,False,7,Storage Agents - ATA RAID Logical Drive Status Changed to degraded,,,False,,,itsm,,False,,,,1.0,,
